waktu_mulai_livestream,durasi_livestream,username_afiliator,jml_keseluruhan_pengikut,jml_pengikut_baru,penonton,GPM,jlm_penjualan
01/09 20:58,00:38,@alicenorinofficial,1690000,81790,18130,153390,13
02/09 09:48,14:07,@alicenorinofficial,1690000,81790,514820,513710,2670
03/09 10:02,04:18,@alicenorinofficial,1690000,81790,25550,1660000,351
03/09 14:21,03:39,@alicenorinofficial,1690000,81790,2780,2290000,490
03/09 19:50,04:10,@alicenorinofficial,1690000,81790,70720,1690000,996
04/09 19:19,01:20,@alicenorinofficial,1690000,81790,11010,1020000,178
04/09 20:40,03:20,@alicenorinofficial,1690000,81790,16560,1050000,273
05/09 13:47,01:58,@alicenorinofficial,1690000,81790,7230,844300,48
05/09 16:04,01:54,@alicenorinofficial,1690000,81790,7150,683240,53
05/09 19:31,04:28,@alicenorinofficial,1690000,81790,21630,741600,167
06/09 09:35,00:13,@alicenorinofficial,1690000,81790,930,2060000,12
06/09 10:01,02:58,@alicenorinofficial,1690000,81790,1030,2880000,175
06/09 19:48,04:16,@alicenorinofficial,1690000,81790,70490,2620000,1160
07/09 08:34,04:26,@alicenorinofficial,1690000,81790,19080,2100000,280
07/09 19:05,04:56,@alicenorinofficial,1690000,81790,28640,1200000,221
08/09 19:25,01:15,@alicenorinofficial,1690000,81790,16930,298290,200
09/09 06:08,17:53,@alicenorinofficial,1690000,81790,276060,3380000,6940
10/09 09:20,01:03,@alicenorinofficial,1690000,81790,6350,1030000,66
10/09 10:37,04:52,@alicenorinofficial,1690000,81790,57660,1050000,619
10/09 15:57,02:03,@alicenorinofficial,1690000,81790,11440,1030000,120
10/09 19:35,02:25,@alicenorinofficial,1690000,81790,19360,993590,287
11/09 06:20,01:12,@alicenorinofficial,1690000,81790,3420,231980,21
11/09 07:41,00:23,@alicenorinofficial,1690000,81790,1030,0,4
11/09 08:25,02:52,@alicenorinofficial,1690000,81790,6450,259730,53
11/09 19:23,03:50,@alicenorinofficial,1690000,81790,20610,246360,160
12/09 06:06,04:54,@alicenorinofficial,1690000,81790,71710,1230000,1120
12/09 19:05,04:55,@alicenorinofficial,1690000,81790,18880,1270000,262
09/13 06:09,01:31,@alicenorinofficial,1690000,81790,4990,1630000,54
09/13 08:03,02:26,@alicenorinofficial,1690000,81790,7550,1540000,81
09/13 10:38,00:22,@alicenorinofficial,1690000,81790,1410,1590000,14
09/13 20:11,03:49,@alicenorinofficial,1690000,81790,56470,1590000,645
09/14 06:20,01:36,@alicenorinofficial,1690000,81790,6060,673090,66
09/14 08:09,02:51,@alicenorinofficial,1690000,81790,9630,748480,110
09/14 19:10,00:32,@alicenorinofficial,1690000,81790,2240,515350,22
09/14 19:47,04:16,@alicenorinofficial,1690000,81790,20560,764490,255
09/15 19:31,00:54,@alicenorinofficial,1690000,81790,7230,27340,1
09/16 06:16,05:44,@alicenorinofficial,1690000,81790,83770,745100,1330
09/16 14:12,09:48,@alicenorinofficial,1690000,81790,97090,977450,1460
09/17 09:36,14:19,@alicenorinofficial,1690000,81790,99210,1420000,1360
09/18 06:06,00:53,@alicenorinofficial,1690000,81790,3130,848830,42
09/18 07:07,03:52,@alicenorinofficial,1690000,81790,11150,960660,159
09/18 19:09,04:50,@alicenorinofficial,1690000,81790,76280,946170,1100
09/19 06:13,02:16,@alicenorinofficial,1690000,81790,5850,1090000,26
09/19 08:32,02:27,@alicenorinofficial,1690000,81790,6160,1170000,31
09/19 19:00,03:08,@alicenorinofficial,1690000,81790,11830,1080000,58
09/19 22:20,01:40,@alicenorinofficial,1690000,81790,5850,821240,20
09/20 06:16,01:38,@alicenorinofficial,1690000,81790,4090,1540000,27
09/20 08:13,02:46,@alicenorinofficial,1690000,81790,6560,1640000,46
09/20 19:00,05:01,@alicenorinofficial,1690000,81790,18440,1690000,132
